Likes,Dislikes,Problems
"Canvs AI allows me and our research team to mine open-end verbatims in our surveys. The summary graphs are nice as you can very easily see what themes are most talked about, but it is the ability to slice and dice by different demographics or cohorts that really brings our other data to life.",I would love to be able to understand more how different themes are related to each other. Perhaps some sort of spider diagram.,"As you can imagine, we sometimes collect up to 1,000 verbatims in a single open text box within a survey. Scanning through all of those manually would be extremely burdensome and not very productive. Canvs AI does all the heavy lifting for us and then allows us to dig deeper by different cuts to really bring to life the quantitative data we have in our reports. ."
#NAME?,"Sometimes there are visibile bugs, but as soon as you alert the customer support team they get it fixed! Not a big deal",#NAME?
#NAME?,"Sometimes I wish the AI was more adaptive and could take similar words that might be slightly misspelled and put them all in the same grouping. There is still a fair bit of manual coding, but it saves a lot of time compared to using tools like excel to analyze unstructured data.",Saves my time as I can quickly analyse open ended responses also helps optimising messaging strategy .
"The AI chat feature is game changing, allowing you to 'talk' to your open ends and unearth insights you might have missed if you had to go through tens of thousands of open-ends.",The only thing I would like to see from Canvs AI in the future is some sort of data analysis (quant) tool or feature built into the platform. This would make Canvs a one-stop-shop for data analysis needs. Everything else has been superb so far and exceeded my expectations.,Going through open-ended responses for different phases of title research for an entertainment company .
Canvas AI helps me quickly open-ended responses into categories and adjust the grouping codes in real time. There are also many different views/graphics that I can use of the data to provide to clients.,"There is a bit of a learning curve to the platform and tool. It took me a bit to master the platform to unlock its full potential. Also, sometimes things are grouped in odd ways that I question a bit.",It saves my team time that would typically be used coding the responses in software such as excel. It makes it much easier to analyze sentiment analysis and provide quick deliverables. .
"The most helpful part of Canvs AI, for me, has been the story assist feature. It has been very helpful pulling out broad themes and providing summaries of open-ended responses. It has cut down on the time needed to review open-ends incredibly. I'm also a fan of the filters, I like that I can search through open ends by topics, emotions, and so much more.",Working with them on the presale process was a bit cumbersome and could have been a smoother experience.,Canvs AI has been helping me sort through and identify themes and topics from hundreds of open-ended responses. It has saved me time in analysis and provided genuine insight into the emotions of participants. .
The ability to group things in multiple ways is very helpful. I feel like the tool is able to dig so much more out of open ends than what meets the eye at first glance.,"Bit of a learning curve to get used to the platform; however, there are plenty of resources to help you while you're getting used to it.",It is a wildly quicker solution to open end coding than traditional methods. It allows for more time to be focused on report analysis and delivering high quality products to my clients. .
The ability to review sentiment for campaign posts without needing influencers to sign in to the platform itself.,None for now. All systems are flawless. Start up time can be reduced a bit and memory utilization as well,"Canvs allows us to provide sentiment analysis reporting and measurement to our clients. We like that we're able to make custom categories based on the client's specific details (ie. look for the client's name in comments). We're also able to provide positive, negative and neutral sentiment analysis to determine the impact of a campaign. Most sentiment analysis tools require you to sign in from the account that you are analyzing. The benefit of Canvs is that you can upload all the comments and not have a requirement to login. This is especially useful when analyzing an influencer program. ."
"Instead of just getting the boring old coded open ends, Canvs AI helps you dig even deeper into these codes and truly understand the message behind the codes. Additionally, the story assist tool is amazingly helpful at synthesizing!","having a TikTok feature would be nice. Pulling in the raw data from the platform can be a bit complex and leave some room for error. But when it works, the data is very nice to see",We needed to understand more than just the plain text of our consumers. Canvs AI helped us dig deeper into these findings and truly understand the emotion/meaning behind these codes. .
THe interface and easy navigation capabilities,Nothing! It is super easy to use and gives you great information,"Wordcount analysis, Reporting and frequency of terms ."
