Likes,Dislikes,Problems
"Recently I was working on a project named ""Sentiment Analysis"" in integration with Google Cloud Natural Language API. When I used it to analyze text data for my ""Sentiment Analysis"" project, it did an excellent job correctly identifying whether the sentiment was positive, negative, or neutral. Also what I liked the most is the documentation itself, allowing me to get up and run quickly. Additionally the multilingual support feature was a nice bonus that could come in handy for future text analysis needs. Overall I had a good experince with Google Cloud's Natural Langauage API, and planning to further use it in other upcoming projects as well.","As of now I do have a good experience using the Google Cloud Natural Language API, but I think it would be nice if offers a more affordable flat-rate pricing tier for individual developers or smaller use cases. Other than the pricing I enjoyed well using this Natural Language API by Google Cloud.","As I have previously mentioned that how this API comes out to be benificial to me for my ""Sentiment Analysis"" project, so instead of having to manually read and interpret each text data, the API automated this time consuming process and helped me to determine if the sentiment was positive, negative, neutral, or mixed. If I would'nt had came across the Google's Natural Langauge API, I would have to to find, evaluate, and implement multiple separate NLP tools and models. So overall it helped me a lot in my ""Sentimental Analysis"" project. ."
"What I enjoy most about the­ Google Cloud Natural Language API is its strong and flexible­ skills in precisely examining and compre­hending language, providing capabilities like­ sentiment examination, e­ntity recognition, and language identification with re­markable correctness and quickne­ss.","One possible­ downside of using Google Cloud Natural Language API is its pricing mode­l, which could get costly for huge volumes of use­ or constant utilization, particularly for companies with financial limits or unpredictable patte­rns of how often it's used.","The Google­ Cloud Natural Language API helps with understanding human language­ (NLU) by giving strong text analysis skills, like fee­ling analysis, entity recognition, and syntax analysis. This helps use­rs by letting them find meaningful de­tails from text information without a fixed form, automate jobs like­ putting content into groups and tracking feelings, and improve­ the total understanding of written conte­nt in different apps, from analyzing customer comme­nts to checking content. ."
"Enabling the API is very easy and obviously giving access to specific people in team. Next talking about the product specifically, then yes, its fast, the replies are generated and sent very quickly. Secondly the asnwers are precise to great probabiliyt, most of the time, or almost every time the conversion of Speech to text or other speech processing is very precise and upto the mark.","Compared to other alternatives in the market, i wouldnt say anyting specifically ther is to dislike about this product at all. Only one thing i found lagging with any service is that, how cool it will be to have this service you in offline mode, when there is cut off from the outside world in certain situations and applications for a while. Other than that, there is nothing which comes to my mind as of now.","My basic applicatoin was to understand the commands given by a user and find the best meaning of that input, to execute the respective task. ."
"It is a seamless tool with minimal delay and it also supports multiple languages, which was a very attractive feature for me.","Although having it's fair share of advantages, the model cannot be tuned further towards any specific or personal use and also it is hard to integrate with other models.",It serves a quck way to identify and break down a given language into its very basics as to the elemental level of the language it helped me in understanding similarities and differences between the structure of 2 languages (for me Bengali and English) being a bilingual person this was an interesting fact to learn about the same. .
It's sentiments detection feature is the most powerful thing for us. We use Google Cloud Natural Language API to conclude the overall reviews data of our company given by many users by using it's sentiments detection features.,Based upon my use cases I could not find any cons of Google Cloud Natural. language API although there is a room of improvements in terms of training a model when we don't have too much date. It requires too much data to train a model and I think this is something that Google can improve in this API.,"In our organization, we use Google NL API to conclude the reviews of our company available on Google. It gives us the lot on insight about rewiers behaviours and sentiments. ."
Simple to use and offers technology for natural language understanding by using syntactic analysis to uncover the structure and meaning of text through hundreds of pretrained classifications.,"The lack of model accessibility and inflexibility, in my opinion, had an impact on the outcome because most activities in the real world likely call for more specialised solutions than what the standardised natural language API functions can offer.","I am exploring these services with ease of use. Text categorization, Sentiment analysis, entity analysis, syntax analysis, and entity sentiment analysis ."
"There is a wide ecosystem of developers, startups, partners, trainers who are closely associated with Google Cloud. For startups, Google for Startups program provides liberal Google Cloud credit (we availed 243.26 GBP valid for 2 years for our entity formed in UK). Google Cloud Customer Community (C2C) is geared towards issues and experience of Google Cloud customers and has an active forum. Their offering under AI (such as Vertex AI) is evolving rapidly and provides a platform to innovate ideas for your own business usecase. Integrates nicely with WordPress sites with host of plugins including Sitekit by Google that brings Google Analytics, AdSense, Google Search console under one dashboard accessed through WP Admin. Add to it plugins like GTranslate, Gspeech by third parties built around capabilitites of Google Cloud AI.","At times, it is tricky to manage access to files and applications.This could cause delay or even losing access.",Google for Startups credit of 243.26 GBP valid for 2 years that we availed for our UK entity is providing an opportunitiy to try new ideas. Helping us implement AI features like adding text to speech and translation features on our WordPress websites. Google Maps helping us add geolocation features. .
"Google and developers is now being all rounder for every advanced technology now has all products and tools for AI, machine learning and NLP which are proven to be great and amazing help for developers working on Machine learning and AI technology advancement.",There is nothing as such dislikes or downside your asking easy to use and great Google developers cummnity help.,Business problems helping in would be like AI and machine learning projects and NLP projects. .
One of the best feature of Google Cloud API is it's accuracy/power to translate source text into desired language without loosing the emotions of source text which is much better than Microsoft Translater.,"In my overall 5 months of experience with Google Cloud natural language API, I did not find any negative thing in that Google has provided almost every tools which are very helpful for user/developers although I would say there is a slight room of enhancement in the implementation part.",We have several social media influencee as our client and we use Google Cloud Natural language API's text analysis feature to understand the sentiments of influenecer's audience by analysing the comments of thousands of infuenser's followers and we provide that analysed comment's data to influencers. .
"It is so much accurate feels like wow, when I use it it will give the best optimised output without much integration issues. As I am using this from last three months. I don't have any complaint , and other appritiating thing is that google is updating this frequently and after every update we will get some awsome features.","For businesses this tool becomes costly however it is having free tier at the beginning , but in the later stage it will become costly that is the only concern , and other thing is that we can find only limited documentation for custom models, So this makes life little harder in this case.","I'm developing a product in a business, and I use this tool to integrating it with my product, integration was easy, also it is having good pre trained models that reduces so much effort of an developer. Not sure how it behaves when we productionize it, since the product still in development stage. But all are good. ."
